order_date;sku;client_id;order_quantity;order_units
2020-04-25;p2;309000;6608,0;138
2020-04-25;p1;308936;750,0;15
2020-04-25;p1;301300;3250,0;65
2020-04-25;p2;308273;2016,0;42
2020-04-26;p1;308273;600,0;12
2020-04-26;p2;308285;3120,0;65
2020-04-27;p3;309000;1650,0;33
2020-04-27;p1;308936;4900,0;98
2020-04-28;p3;301300;6900,0;138
2020-04-28;p2;308936;4704,0;98
2020-04-28;p1;308285;3250,0;65
2020-04-29;p2;309000;2592,0;54
2020-04-29;p3;308936;1200,0;24
2020-04-30;p1;308285;5750,0;115
2020-04-30;p2;308273;10176,0;212
2020-04-30;p3;308273;2400,0;48
2020-05-03;p1;301300;1300,0;26
2020-05-03;p2;309000;2640,0;55
2020-05-03;p3;308285;4550,0;91
2020-05-04;p2;309000;1056,0;22
2020-05-04;p3;301300;1650,0;33
2020-05-04;p1;308285;7700,0;154
2020-05-05;p3;308936;5500,0;110
2020-05-06;p2;308936;2256,0;47
2020-05-06;p2;308285;3120,0;65
2020-05-07;p1;308936;850,0;17
2020-05-07;p2;308285;1248,0;26
2020-05-07;p3;308273;2400,0;48
2020-05-07;p3;301300;1300,0;26
2020-05-07;p1;309000;1200,0;24
2020-05-08;p1;308936;6900,0;138
2020-05-08;p2;301300;720,0;15
2020-05-08;p3;308273;3250,0;65
2020-05-09;p2;309000;3648,0;76
2020-05-09;p1;301300;3800,0;76
2020-05-12;p1;308285;4200,0;84
2020-05-12;p3;308273;3250,0;65
2020-05-13;p2;308285;2112,0;44
2020-05-13;p1;308273;2200,0;44
