order_date;sku;client_id;order_quantity;order_units
2013-07-14;HV1;C12;18650,0;746,0
2013-07-14;MV2;C15;221700,0;739,0
2013-07-14;MV2;C15;223800,0;746,0
2013-07-14;MV2;C17;228000,0;760,0
2013-07-14;MV2;C7;227400,0;758,0
2013-07-14;HV3;C5;40560,0;676,0
2013-07-14;MV3;C17;220200,0;734,0
2013-07-14;MV3;C2;219600,0;732,0
2013-07-14;MV3;C5;225000,0;750,0
2013-07-14;MV3;C12;221700,0;739,0
2013-07-14;MV3;C8;222900,0;743,0
2013-07-14;MV4;C1;360500,0;721,0
2013-07-14;MV4;C15;360000,0;720,0
2013-07-14;MV4;C10;364500,0;729,0
2013-07-14;MV4;C7;366500,0;733,0
2013-07-14;MV4;C7;363500,0;727,0
2013-07-14;MV4;C14;361500,0;723,0
2013-07-14;LV1;C14;826800,0;689,0
2013-07-14;LV1;C16;834000,0;695,0
2013-07-14;LV2;C18;1580000,0;790,0
2013-07-14;LV2;C7;1544000,0;772,0
2013-07-14;LV2;C6;1556000,0;778,0
2013-07-14;LV2;C16;1534000,0;767,0
2013-07-14;LV2;C16;1530000,0;765,0
2013-07-14;LV3;C1;1098950,0;709,0
2013-07-14;LV3;C2;1089650,0;703,0
2013-07-14;MV2;C10;228300,0;761,0
2013-07-14;LV3;C1;1091200,0;704,0
2013-07-14;MV2;C13;230400,0;768,0
2013-07-14;MV2;C8;229200,0;764,0
2013-07-14;HV4;C5;60160,0;752,0
2013-07-14;HV4;C11;59440,0;743,0
2013-07-14;HV4;C8;59760,0;747,0
2013-07-14;HV4;C11;60720,0;759,0
2013-07-14;HV4;C12;60560,0;757,0
2013-07-14;HV4;C2;60560,0;757,0
2013-07-14;HV4;C12;59600,0;745,0
2013-07-14;HV4;C5;61040,0;763,0
2013-07-14;HV4;C16;59360,0;742,0
2013-07-14;HV4;C8;59120,0;739,0
2013-07-14;HV5;C5;38100,0;762,0
2013-07-14;HV5;C3;38250,0;765,0
2013-07-14;HV5;C3;37250,0;745,0
2013-07-14;HV5;C16;37450,0;749,0
2013-07-14;HV5;C9;38200,0;764,0
2013-07-14;MV1;C8;181000,0;724,0
2013-07-14;MV1;C16;180750,0;723,0
2013-07-14;MV1;C9;183250,0;733,0
2013-07-14;MV1;C4;179750,0;719,0
2013-07-14;MV1;C17;184000,0;736,0
2013-07-14;MV1;C12;179000,0;716,0
2013-07-14;MV1;C18;180750,0;723,0
2013-07-14;MV1;C16;180500,0;722,0
2013-07-14;MV1;C5;182500,0;730,0
2013-07-14;MV2;C7;222600,0;742,0
2013-07-14;MV2;C3;225000,0;750,0
2013-07-14;LV3;C3;1089650,0;703,0
2013-07-14;HV3;C2;39840,0;664,0
2013-07-21;MV2;C3;225600,0;752,0
2013-07-21;HV5;C12;38350,0;767,0
2013-07-21;HV5;C8;37400,0;748,0
2013-07-21;HV5;C16;37100,0;742,0
2013-07-21;HV5;C17;38250,0;765,0
2013-07-21;HV5;C4;37500,0;750,0
2013-07-21;HV5;C11;37100,0;742,0
2013-07-21;HV5;C6;38250,0;765,0
2013-07-21;HV5;C10;38300,0;766,0
2013-07-21;LV3;C10;1083450,0;699,0
2013-07-21;MV2;C11;226500,0;755,0
2013-07-21;MV2;C18;227400,0;758,0
2013-07-21;MV2;C1;231900,0;773,0
2013-07-21;MV2;C14;228000,0;760,0
2013-07-21;MV2;C2;227700,0;759,0
2013-07-21;MV2;C11;227400,0;758,0
2013-07-21;MV2;C4;229500,0;765,0
2013-07-21;MV2;C2;227700,0;759,0
2013-07-21;MV2;C5;229800,0;766,0
2013-07-21;MV2;C12;224700,0;749,0
2013-07-21;MV1;C14;177750,0;711,0
2013-07-21;LV1;C15;820800,0;684,0
2013-07-21;LV1;C11;832800,0;694,0
2013-07-21;LV1;C17;848400,0;707,0
2013-07-21;LV1;C2;843600,0;703,0
2013-07-21;LV1;C10;835200,0;696,0
2013-07-21;MV4;C8;357000,0;714,0
2013-07-21;MV4;C1;355500,0;711,0
2013-07-21;MV4;C9;359500,0;719,0
2013-07-21;MV4;C1;360500,0;721,0
2013-07-21;MV1;C6;179000,0;716,0
2013-07-21;MV1;C14;181250,0;725,0
2013-07-21;MV1;C10;181750,0;727,0
2013-07-21;MV1;C1;177500,0;710,0
2013-07-21;MV1;C16;180000,0;720,0
2013-07-21;MV1;C14;178250,0;713,0
2013-07-21;MV1;C15;180000,0;720,0
2013-07-21;MV1;C8;181000,0;724,0
2013-07-21;MV1;C18;179250,0;717,0
2013-07-21;MV1;C9;179500,0;718,0
2013-07-21;LV3;C13;1075700,0;694,0
2013-07-21;LV3;C9;1074150,0;693,0
2013-07-21;HV4;C12;61200,0;765,0
2013-07-21;LV3;C18;1075700,0;694,0
2013-07-21;LV2;C7;1586000,0;793,0
2013-07-21;LV2;C14;1564000,0;782,0
2013-07-21;LV2;C14;1576000,0;788,0
2013-07-21;LV2;C6;1598000,0;799,0
2013-07-21;LV2;C18;1582000,0;791,0
2013-07-21;LV2;C6;1560000,0;780,0
2013-07-21;MV4;C12;362500,0;725,0
2013-07-21;MV4;C1;356000,0;712,0
2013-07-21;MV4;C11;364500,0;729,0
2013-07-21;MV4;C11;357000,0;714,0
2013-07-21;MV4;C12;365000,0;730,0
2013-07-21;MV4;C7;359000,0;718,0
2013-07-21;LV2;C11;1582000,0;791,0
2013-07-21;HV4;C3;59360,0;742,0
2013-07-21;LV1;C7;844800,0;704,0
2013-07-21;HV4;C8;59760,0;747,0
2013-07-21;HV4;C7;61200,0;765,0
2013-07-21;HV4;C17;60640,0;758,0
2013-07-21;HV4;C14;60160,0;752,0
2013-07-21;HV4;C14;59280,0;741,0
2013-07-21;MV3;C7;225300,0;751,0
2013-07-21;HV1;C1;18675,0;747,0
2013-07-21;HV4;C10;60720,0;759,0
2013-07-21;HV1;C12;18750,0;750,0
2013-07-21;HV4;C1;61200,0;765,0
2013-07-21;MV3;C5;222900,0;743,0
2013-07-21;MV3;C15;221400,0;738,0
2013-07-21;HV3;C2;40320,0;672,0
2013-07-21;HV3;C13;39720,0;662,0
2013-07-21;HV3;C1;39840,0;664,0
2013-07-21;HV1;C8;18575,0;743,0
2013-07-21;HV4;C14;60000,0;750,0
2013-07-21;MV1;C16;179000,0;716,0
2013-07-21;HV4;C16;59360,0;742,0
2013-07-28;LV1;C12;838800,0;699,0
2013-07-28;MV3;C14;225600,0;752,0
2013-07-28;MV3;C6;220800,0;736,0
2013-07-28;HV2;C9;15725,0;629,0
2013-07-28;LV3;C16;1074150,0;693,0
2013-07-28;LV1;C11;832800,0;694,0
2013-07-28;LV3;C14;1080350,0;697,0
2013-07-28;MV1;C4;178000,0;712,0
2013-07-28;LV1;C2;853200,0;711,0
2013-07-28;LV1;C1;840000,0;700,0
2013-07-28;LV1;C1;843600,0;703,0
2013-07-28;LV1;C15;853200,0;711,0
2013-07-28;LV1;C18;846000,0;705,0
2013-07-28;MV3;C17;220800,0;736,0
2013-07-28;LV1;C1;849600,0;708,0
2013-07-28;LV1;C9;837600,0;698,0
2013-07-28;HV5;C16;37500,0;750,0
2013-07-28;MV1;C14;177500,0;710,0
2013-07-28;MV1;C2;180500,0;722,0
2013-07-28;MV4;C14;357000,0;714,0
2013-07-28;MV4;C16;360000,0;720,0
2013-07-28;MV4;C12;362500,0;725,0
2013-07-28;MV3;C2;224700,0;749,0
2013-07-28;MV3;C2;220500,0;735,0
2013-07-28;HV2;C9;15800,0;632,0
2013-07-28;HV2;C10;15500,0;620,0
2013-07-28;HV2;C2;15525,0;621,0
2013-07-28;HV1;C8;18850,0;754,0
2013-07-28;HV1;C18;18875,0;755,0
2013-07-28;MV3;C13;221100,0;737,0
2013-07-28;HV1;C9;18875,0;755,0
2013-07-28;HV4;C2;61120,0;764,0
2013-07-28;MV3;C3;222300,0;741,0
2013-07-28;HV3;C14;39660,0;661,0
2013-07-28;HV3;C3;40080,0;668,0
2013-07-28;HV3;C14;39720,0;662,0
2013-07-28;HV3;C4;40320,0;672,0
2013-07-28;LV1;C6;844800,0;704,0
2013-07-28;LV1;C12;848400,0;707,0
2013-07-28;LV3;C1;1072600,0;692,0
2013-07-28;LV2;C18;1560000,0;780,0
2013-07-28;HV3;C3;40500,0;675,0
2013-07-28;HV3;C3;40020,0;667,0
2013-07-28;MV1;C5;178250,0;713,0
2013-07-28;LV1;C6;849600,0;708,0
2013-07-28;HV2;C4;15450,0;618,0
2013-07-28;MV1;C12;177500,0;710,0
2013-07-28;MV1;C9;183000,0;732,0
2013-07-28;HV1;C15;18775,0;751,0
2013-07-28;HV1;C4;18725,0;749,0
2013-07-28;HV1;C16;18875,0;755,0
2013-07-28;MV3;C10;226200,0;754,0
2013-07-28;MV2;C3;224700,0;749,0
2013-07-28;LV3;C18;1075700,0;694,0
2013-07-28;LV3;C4;1080350,0;697,0
2013-07-28;MV1;C10;181250,0;725,0
2013-08-04;HV2;C3;15600,0;624,0
2013-08-04;HV2;C9;15650,0;626,0
2013-08-04;HV2;C15;15500,0;620,0
2013-08-04;HV2;C7;15425,0;617,0
2013-08-04;HV2;C14;15425,0;617,0
2013-08-04;HV2;C2;15675,0;627,0
2013-08-04;LV2;C6;1564000,0;782,0
2013-08-04;HV2;C18;15700,0;628,0
2013-08-04;HV2;C3;15775,0;631,0
2013-08-04;MV1;C16;180500,0;722,0
